ImageNumber,Image_Metadata_GeneSymbol,Image_Metadata_AlleleDesc
15249,EMPTY,
15120,YAP1,WT.2
15115,YAP1,WT.2
15881,EMPTY,
15399,EMPTY,
15503,EMPTY,
15254,EMPTY,
15424,YAP1,WT.3
15717,WWTR1,WT
15394,EMPTY,
15722,WWTR1,WT
15752,EMPTY,
15439,YAP1,WT.4
15782,EMPTY,
15603,EMPTY,
15419,YAP1,WT.3
15757,EMPTY,
16056,EMPTY,
15444,YAP1,WT.4
15882,EMPTY,
15504,EMPTY,
16051,EMPTY,
15250,EMPTY,
15499,EMPTY,
15877,EMPTY,
15718,WWTR1,WT
15425,YAP1,WT.3
15255,EMPTY,
15598,EMPTY,
15395,EMPTY,
15753,EMPTY,
15723,WWTR1,WT
15778,EMPTY,
15440,YAP1,WT.4
16231,EMPTY,
16236,EMPTY,
15758,EMPTY,
15883,EMPTY,
15604,EMPTY,
15783,EMPTY,
15420,YAP1,WT.3
16281,EMPTY,
15505,EMPTY,
15878,EMPTY,
16052,EMPTY,
15500,EMPTY,
15719,WWTR1,WT
16276,EMPTY,
15754,EMPTY,
16361,EMPTY,
15599,EMPTY,
16351,EMPTY,
16356,EMPTY,
16346,EMPTY,
15779,EMPTY,
15884,EMPTY,
16232,EMPTY,
15784,EMPTY,
15605,EMPTY,
15759,EMPTY,
15879,EMPTY,
16053,EMPTY,
15755,EMPTY,
16048,EMPTY,
15720,WWTR1,WT
16352,EMPTY,
16511,EMPTY,
16362,EMPTY,
15715,WWTR1,WT
15600,EMPTY,
16357,EMPTY,
15780,EMPTY,
16347,EMPTY,
16277,EMPTY,
15885,EMPTY,
16556,EMPTY,
16228,EMPTY,
15785,EMPTY,
15880,EMPTY,
16233,EMPTY,
16273,EMPTY,
16507,EMPTY,
16054,EMPTY,
16353,EMPTY,
16512,EMPTY,
16049,EMPTY,
16552,EMPTY,
16358,EMPTY,
16229,EMPTY,
16348,EMPTY,
16278,EMPTY,
16234,EMPTY,
16274,EMPTY,
16557,EMPTY,
16508,EMPTY,
16856,EMPTY,
16354,EMPTY,
16851,EMPTY,
16055,EMPTY,
16513,EMPTY,
17041,EMPTY,
17046,EMPTY,
16553,EMPTY,
16050,EMPTY,
16230,EMPTY,
16359,EMPTY,
16275,EMPTY,
17036,EMPTY,
16349,EMPTY,
16279,EMPTY,
17042,EMPTY,
16235,EMPTY,
16857,EMPTY,
16509,EMPTY,
16355,EMPTY,
17031,EMPTY,
16852,EMPTY,
17051,EMPTY,
16345,EMPTY,
17047,EMPTY,
16558,EMPTY,
16514,EMPTY,
17043,EMPTY,
17048,EMPTY,
17037,EMPTY,
16554,EMPTY,
16360,EMPTY,
16853,EMPTY,
16510,EMPTY,
17044,EMPTY,
17032,EMPTY,
17049,EMPTY,
16280,EMPTY,
16350,EMPTY,
17052,EMPTY,
16515,EMPTY,
16559,EMPTY,
17045,EMPTY,
17050,EMPTY,
17038,EMPTY,
16555,EMPTY,
16854,EMPTY,
17033,EMPTY,
16849,EMPTY,
17053,EMPTY,
16560,EMPTY,
17506,EMPTY,
17511,EMPTY,
17039,EMPTY,
17029,EMPTY,
16855,EMPTY,
17616,EMPTY,
17034,EMPTY,
17621,EMPTY,
17054,EMPTY,
16850,EMPTY,
17507,EMPTY,
17512,EMPTY,
17731,EMPTY,
17030,EMPTY,
17040,EMPTY,
17736,EMPTY,
17617,EMPTY,
17035,EMPTY,
17831,EMPTY,
17622,EMPTY,
17836,EMPTY,
17055,EMPTY,
17508,EMPTY,
17732,EMPTY,
17513,EMPTY,
17618,EMPTY,
17737,EMPTY,
17832,EMPTY,
17996,EMPTY,
17837,EMPTY,
17509,EMPTY,
17514,EMPTY,
17733,EMPTY,
18246,EMPTY,
18286,EMPTY,
17992,EMPTY,
18296,EMPTY,
18251,EMPTY,
18291,EMPTY,
17619,EMPTY,
17838,EMPTY,
18281,EMPTY,
17510,EMPTY,
17833,EMPTY,
17738,EMPTY,
